S1	RHR1307683
S2	RHR1307357
S3	RHR1307471
S4	RHR1310985
S5	RHR1307300
S6	RHR1307308
S7	RHR1307760
S8	RHR1307262
S9	RHR1307923
S10	RHR1310866
S11	RHR1307113
S12	RHR1310711
S13	RHR1307491
S14	RHR1307148
S15	RHR1307724
S16	RHR1307069
S17	RHR1307721
S18	RHR1307483
S19	RHR1307732
S20	RHR1307362
S21	RHR1307250
S22	RHR1307314
S23	RHR1307681
S24	RHR1310656
S25	RHR1310727
S26	RHR1307672
S27	RHR1310676
S28	RHR1307762
S29	RHR1307467
S30	RHR1310948
S31	RHR1310908
S32	RHR1307066
S33	RHR1307024
S34	RHR1310951
S35	RHR1307397
S36	RHR1311101
S37	RHR1307325
S38	RHR1307161
S39	RHR1307933
S40	RHR1307127
S41	RHR1307289
S42	RHR1307091
S43	RHR1310834
S44	RHR1310775
S45	RHR1307181
S46	RHR1307755
S47	RHR1311033
S48	RHR1307544
S49	RHR1307722
S50	RHR1310724
S51	RHR1307152
